symbol,yesterdays close,todays close,yesterdays volatility,todays volatility,avg traded volume,todays volume,avg % deliverable volume,todays % deliverable volume,avg intraday volume per trade,todays intraday volume per trade,margin
ICIL,111.55,110.35,3.81,3.6999999999999997,2183189.1904761903,763987,23.504761904761903,23.49,130.28203452496376,138.15326251477194,13
JINDALSTEL,161.7,162.65,3.5000000000000004,3.4000000000000004,8711560.42857143,10970776,25.16523809523809,11.38,162.72830268442223,205.69334598231285,8
GRANULES,134.4,136.15,2.86,2.79,2945401.9523809524,3957603,30.351428571428567,30.64,116.07333531615484,115.69070850929322,10
ANDHRABANK,55.8,55.7,2.79,2.71,6854484.095238095,5519112,15.298095238095238,28.66,349.22577986577323,224.70805277936307,14
JSWENERGY,81.05,79.75,2.75,2.7,13220988.238095239,8486811,32.89666666666667,26.95,323.4712886763931,364.1905325442049,13
INDIACEM,178.85,180.05,2.5700000000000003,2.5,4200966,2018889,26.044285714285714,16.78,109.74313962843664,118.77832632025451,11
KTKBANK,153.35,163.45,2.01,2.5,3263633.8571428573,17351640,26.698571428571427,14.8,122.95327904932059,166.92558240368547,14
DLF,172.85,172.95,2.5700000000000003,2.4899999999999998,7825722.142857143,4538752,17.30047619047619,10.05,162.40625049475915,161.5402771337,7
BIOCON,371.85,370.65,2.4,2.33,1972691.6666666667,1204520,27.318571428571424,24.02,55.22307967525751,58.531228958813,9
KPIT,130.45,128.25,2.3,2.27,1084008.0952380951,849490,30.0247619047619,23.41,89.47175114108168,74.1283343967187,8
HINDALCO,264.45,266.6,2.31,2.25,9347050.19047619,12276907,36.39714285714286,37.89,90.08641047493009,110.70569612503266,11
SAIL,56.05,57.95,2.15,2.2399999999999998,4971061.80952381,9198756,28.053809523809523,39.01,297.3046169863211,253.73439846230383,11
TORNTPOWER,226.1,233.1,2.18,2.2399999999999998,1072566.857142857,2233325,34.26428571428571,36.89,60.60906533367407,79.14264739738334,8
NCC,89.5,90.5,2.26,2.21,3736473.8636363638,5011169,38.55136363636364,39.63,145.975716755505,182.76099349362653,11
L&TFH,203.1,204.6,2.23,2.17,6716642.333333333,5515114,29.451428571428572,20.75,115.29639621628009,146.19285697561628,11
PTC,119.7,121.45,2.21,2.17,2740841.1428571427,2102592,30.915238095238095,36.77,126.93797687594287,98.76449904167595,11
JISLJALEQS,93.1,92.9,2.17,2.1,4143684.8571428573,4719283,33.88904761904762,53.73,149.44400132270528,84.6492574081253,11
SYNDIBANK,65.95,66.2,2.15,2.09,1994890.2857142857,1764166,18.447619047619042,9.13,233.75199978887673,376.4907572099577,14
HEXAWARE,275.2,275.7,2.15,2.08,706037.3333333334,467852,19.859523809523814,28.37,52.24071584920481,42.62016884140913,11
TATAGLOBAL,212,210.25,2.13,2.08,3572146.904761905,3171251,28.536666666666672,38.59,125.17139585138037,150.9545956980079,9
DISHTV,72,71.6,2.13,2.07,2927496.8095238097,1114687,43.843809523809526,35.31,167.3122858537682,150.91900801590623,9
BANKINDIA,132.4,136,2,2.0500000000000003,2597265,3990417,15.183809523809527,13.97,153.7694562035061,193.0470530900298,14
ORIENTBANK,114.15,114.95,2.1,2.04,2042915.5238095238,2380650,14.088571428571429,10.2,159.32881216311603,184.53376780319377,14
UNIONBANK,126.8,127.65,2.02,1.97,2986246.5714285714,2807411,23.652380952380952,14.66,139.68802980488658,170.83888672276098,13
HINDZINC,314.75,320.25,1.8900000000000001,1.8800000000000001,1465537.0952380951,2059358,37.68714285714285,26.95,44.446867391527476,49.74738819444445,11
ASHOKLEY,125.35,125.35,1.9300000000000002,1.87,9599346.476190476,4216350,34.72333333333334,31.03,165.331881024123,137.0542273070035,14
CGPOWER,78.9,78.6,1.8399999999999999,1.79,2303744.095238095,1883995,40.4547619047619,36.49,170.75063001324622,222.3611270209998,8
NMDC,119.4,120.45,1.73,1.69,2331918.095238095,1802611,36.84714285714286,26.98,117.3466807219152,154.8002531106668,11
OIL,347.2,349.7,1.72,1.68,925164.4761904762,453958,43.68238095238095,30.42,36.9482825699241,32.603630924855494,14
APOLLOTYRE,242.5,242.2,1.72,1.67,3096222.1904761903,1801541,33.099999999999994,38.79,66.54310052409843,42.13209208344477,14
DCBBANK,188.75,191.45,1.6099999999999999,1.6,1333755.8095238095,1140069,32.55380952380951,24.89,83.3932986622068,95.95538165620798,14
CANBK,303.65,308.5,1.55,1.55,1907974.380952381,2375079,18.81904761904762,10.46,85.0325134669962,84.72017116564417,14
TATAPOWER,81.7,81.65,1.5699999999999998,1.52,7900757.428571428,2469408,45.69904761904762,39.13,141.54337805550213,86.89609490114464,9
BHEL,84.4,84.25,1.52,1.47,7497768,3253847,36.798571428571435,44.86,134.73670943809054,108.44190001813236,11
BANKBARODA,138.55,139.55,1.49,1.46,9409642.952380951,5536201,30.99476190476191,13.65,147.8097030683077,149.77472158343255,14
ENGINERSIN,153.75,152.05,1.32,1.31,1542564.2857142857,686192,42.94047619047619,36.17,80.60044021860334,73.4646685005032,11
