symbol,yesterdays close,todays close,yesterdays volatility,todays volatility,avg traded volume,todays volume,avg % deliverable volume,todays % deliverable volume,avg intraday volume per trade,todays intraday volume per trade,margin
ICIL,114.2,113.85,3.53,3.42,2127051.714285714,585796,22.791428571428575,35.68,141.15630637063265,93.91425403788634,13
JINDALSTEL,161.75,161.2,3.2399999999999998,3.1399999999999997,8426175.666666666,1357181,25.052380952380954,40.97,169.5042015979952,157.2412059470069,8
GRANULES,142.85,142.5,2.76,2.68,3141623.6666666665,2342416,32.08809523809524,45.75,115.94016691249851,104.91749339498018,10
JSWENERGY,82.2,81.15,2.75,2.68,13045891.952380951,3407916,33.80857142857143,51.35,329.68483736966573,175.63041673728816,13
ANDHRABANK,55.5,55,2.58,2.5100000000000002,4393166.523809524,547116,16.531904761904766,46.47,324.90629258031646,131.50929268073642,14
KTKBANK,156.95,159.55,2.45,2.41,3734641.095238095,619433,24.733333333333338,45.77,130.9859541765319,95.73055454545454,14
DLF,178.75,178.35,2.4699999999999998,2.4,8030087.095238095,1270942,17.43285714285715,26.92,166.4745467657808,121.81041489836065,7
NCC,90,94.3,2.12,2.35,3665239.227272727,1292762,36.79909090909091,35.08,155.98944381853073,135.25561489121677,11
INDIACEM,181.75,181.15,2.39,2.32,3664900.1904761903,620747,24.799999999999997,41.88,114.06698202358359,69.14108018397853,11
BIOCON,385.9,382.05,2.32,2.26,1729506.857142857,266606,26.406666666666666,44.76,55.69900115528881,31.80845667386609,9
SYNDIBANK,68.25,68.6,2.29,2.22,2096686.6666666667,834432,18.04333333333333,26.18,268.26248393387704,252.13986999590668,14
PETRONET,261.1,267.25,2.17,2.18,3952385.095238095,479305,59.69666666666666,27.92,32.168998574414736,82.59216925651447,14
TORNTPOWER,242.1,243.45,2.2399999999999998,2.18,1150166.4761904762,757624,33.46476190476189,39.15,67.4517679606293,55.5572672933237,8
HINDALCO,276.5,275.3,2.1999999999999997,2.1399999999999997,9736109.142857144,569539,37.00095238095238,24.91,94.25256216512753,86.03235467712733,11
KPIT,129.25,127.9,2.1399999999999997,2.09,1033740.619047619,170796,30.406666666666666,60.55,90.95164954597537,36.48025013535463,8
SAIL,59.2,59.5,2.15,2.09,4876790.523809524,818682,28.6552380952381,50.72,301.1082571033344,136.02376587997304,11
PTC,119.75,121,2.08,2.03,2278015.6666666665,304995,33.19571428571429,50.67,125.13872992156814,80.62917122186494,11
L&TFH,205.9,207.45,2.06,2.01,5871984.142857143,935335,30.712857142857143,50.4,116.11291072616737,66.76157144912938,11
JISLJALEQS,95.15,94.4,2.04,1.9900000000000002,4592045.238095238,1076870,36.08238095238095,59.76,140.19325212863737,84.04431497284718,11
FEDERALBNK,125.95,126.45,2.04,1.9800000000000002,12092912.523809524,2266162,47.94714285714285,37.63,141.02098007085175,139.51290488599346,14
HEXAWARE,280.85,285.05,1.9900000000000002,1.96,677085.7619047619,226317,18.291904761904757,26.47,51.83004301861773,66.1936714797136,11
TATAGLOBAL,210.3,206.8,1.96,1.94,3261952.1428571427,532661,32.97571428571429,59.25,118.66342373958048,47.176561073679636,9
CGPOWER,79.05,81.95,1.73,1.9,2226819.619047619,596379,35.86333333333333,55.51,199.28217168586906,104.05059494117648,8
DISHTV,72.05,71.9,1.96,1.9,2932509.1428571427,482171,43.72571428571428,37.51,168.8151596396647,153.4158135947047,9
BANKINDIA,137.6,136.65,1.94,1.8900000000000001,2458171.0476190476,440739,15.479047619047622,28.62,157.79255356103968,135.3698357142857,14
ORIENTBANK,115.3,114,1.92,1.8800000000000001,1886130.1904761905,303100,14.701904761904762,30.48,161.70415370367584,125.65004174120452,14
UNIONBANK,127.85,126.15,1.8499999999999999,1.82,2762290.8095238097,466545,23.335714285714282,33.21,142.56107892664005,112.53355200433369,13
ASHOKLEY,128.45,130.6,1.81,1.7999999999999998,9538553.285714285,1483924,34.05714285714285,37.55,161.58416708736178,96.37172816139767,14
HINDZINC,326.75,323.2,1.8399999999999999,1.7999999999999998,1417306.9047619049,255654,35.30857142857144,51.11,51.744528459900906,36.207775376593275,11
DCBBANK,184.05,181.4,1.72,1.71,1533036.8095238095,443089,31.760476190476187,36.37,88.60740674579647,101.74577073258752,14
NMDC,123.5,122.4,1.67,1.63,2180674.4285714286,383093,36.758095238095244,53.97,119.268851055388,73.07820468296727,11
APOLLOTYRE,246,243.55,1.6099999999999999,1.58,2979711.6666666665,200575,34.84142857142857,39.29,63.291842762672786,51.66274183283836,14
OIL,345.2,343.4,1.59,1.55,802061.2380952381,60310,41.49761904761905,39.27,38.090266262916984,21.659528681253697,14
POWERGRID,204.9,213.55,1.18,1.53,6009865.571428572,314646,67.64333333333332,32.02,40.258286321437865,82.84134422927963,14
CANBK,308.8,305.05,1.46,1.4500000000000002,1819127.238095238,217890,18.027619047619048,38.15,85.6075673588186,54.82708096013018,14
BANKBARODA,139.15,136.7,1.41,1.43,8508336.047619049,1510641,32.476190476190474,57.75,147.76844304398716,61.39930952380952,14
BHEL,84.25,84.75,1.39,1.3599999999999999,4081260.714285714,771136,36.79047619047619,45.37,121.50570406792379,72.72080041429312,11
ONGC,171.2,174.45,1.24,1.29,7060841.619047619,1215089,55.86666666666667,38.11,62.753226249896514,96.25221836682452,14
AMBUJACEM,280.85,277.9,1.22,1.21,2051414.5238095238,143094,50.38285714285714,22.41,44.20387997238299,66.32415448028674,14
