symbol,yesterdays close,todays close,yesterdays volatility,todays volatility,avg traded volume,todays volume,avg % deliverable volume,todays % deliverable volume,avg intraday volume per trade,todays intraday volume per trade,margin
ICIL,114.2,113.85,3.53,3.42,2015554.85,1681349,23.812000000000005,40.29,137.57427435981742,98.20341268707816,13
JINDALSTEL,161.75,161.2,3.2399999999999998,3.1399999999999997,8390489.75,6224569,24.4005,32.4,164.92018232390757,106.40019834627154,8
GRANULES,142.85,142.5,2.76,2.68,3424654.2,2593014,33.7715,40.27,114.6856068569247,120.09981871898263,10
JSWENERGY,82.2,81.15,2.75,2.68,12270192.65,7995230,34.4205,30.22,328.6371939280237,272.841915786385,13
ANDHRABANK,55.5,55,2.58,2.5100000000000002,5564787.85,40074884,18.294999999999998,22.86,319.96551110784657,345.0428099828113,14
KTKBANK,156.95,159.55,2.45,2.41,3482116.95,4180085,24.994000000000003,26.44,129.95888160565454,113.21320051546392,14
DLF,178.75,178.35,2.4699999999999998,2.4,7446458.95,6071750,17.0485,18.21,164.3671240682394,154.2501731635347,7
NCC,90,94.3,2.12,2.35,5811198.285714285,21982787,34.13095238095239,30.68,171.85818405695332,198.62445188216893,11
INDIACEM,181.75,181.15,2.39,2.32,3715838.9,8088141,23.808,43.92,117.14645001564065,107.99079740964716,11
BIOCON,385.9,382.05,2.32,2.26,1720863.35,1377963,28.2065,32.5,52.95471961485214,31.110981871090747,9
SYNDIBANK,68.25,68.6,2.29,2.22,4076184.65,32392707,17.555499999999995,15.53,285.38952258888196,287.41420366277663,14
TORNTPOWER,242.1,243.45,2.2399999999999998,2.18,1357563.5,2269446,34.653499999999994,53.39,68.61980209911782,53.69213647022993,8
HINDALCO,276.5,275.3,2.1999999999999997,2.1399999999999997,9202494.05,7240195,37.451,50.87,93.79943524370293,89.1036748453195,11
KPIT,129.25,127.9,2.1399999999999997,2.09,1115532.75,1861903,31.989500000000003,38.37,84.25371205467698,70.52801591272282,8
SAIL,59.2,59.5,2.15,2.09,5832327.85,23569491,29.169000000000004,28.7,312.45172762902234,373.17183139031374,11
PTC,119.75,121,2.08,2.03,1810164.75,2182278,34.597500000000004,26.77,116.89306878147215,137.7300852710506,11
L&TFH,205.9,207.45,2.06,2.01,5688118.9,15065258,29.5005,36.33,117.51539631653677,91.83652731624653,11
JISLJALEQS,95.15,94.4,2.04,1.9900000000000002,4627539,3469373,36.616,30.62,142.83095306492143,161.1037405394552,11
HEXAWARE,280.85,285.05,1.9900000000000002,1.96,680767.65,984781,20.66,27.93,46.79451877512476,47.416599859700696,11
TATAGLOBAL,210.3,206.8,1.96,1.94,3198442.55,2640192,34.605,28.9,119.44853592370927,136.35334582697755,9
IRB,208.05,210,1.96,1.91,2859612.65,6479850,43.7265,35.7,68.04332082849888,80.64225811446377,9
CGPOWER,79.05,81.95,1.73,1.9,1921820.35,2254189,35.20300000000001,49.94,207.47955784195136,156.4245929304131,8
DISHTV,72.05,71.9,1.96,1.9,3293564.05,6291402,44.3525,34.5,167.23721208881577,186.76040380693408,9
BANKINDIA,137.6,136.65,1.94,1.8900000000000001,3745774.3,27437445,16.949999999999996,35.27,166.60814096964666,137.84311375384186,14
ORIENTBANK,115.3,114,1.92,1.8800000000000001,2889982.85,21157952,15.4285,18.95,176.3834842937738,195.3089917769527,14
UNIONBANK,127.85,126.15,1.8499999999999999,1.82,4180294.55,32616021,23.446499999999997,35.21,154.24361973805213,158.4779103957463,13
ASHOKLEY,128.45,130.6,1.81,1.7999999999999998,9191950.25,8699873,34.78949999999999,42.86,155.2302892001614,125.80304775907884,14
HINDZINC,326.75,323.2,1.8399999999999999,1.7999999999999998,1687221.4,1266550,32.886,31.61,55.28489331744969,55.68585953069753,11
DCBBANK,184.05,181.4,1.72,1.71,1595924.3,2692759,31.455999999999996,36.58,96.00336585124404,135.5247803983811,14
EXIDEIND,208.6,208.7,1.7500000000000002,1.7000000000000002,2055013.05,2063637,48.626999999999995,37.38,58.571166859541975,68.72570809977131,11
NMDC,123.5,122.4,1.67,1.63,2075842.75,3383919,38.0355,53.9,115.36090087297423,123.83795022624435,11
APOLLOTYRE,246,243.55,1.6099999999999999,1.58,2599059.35,1203040,36.506,30.84,60.55051427912549,51.684834389365136,14
OIL,345.2,343.4,1.59,1.55,730309.1,464394,38.9645,52.08,38.417593381755964,42.363907252998295,14
CANBK,308.8,305.05,1.46,1.4500000000000002,3548311.35,35410137,16.870500000000003,29.73,106.10370047943172,110.27856170319319,14
BANKBARODA,139.15,136.7,1.41,1.43,14348630.45,136846102,33.548,52.64,169.1164028065128,148.6236473667072,14
BHEL,84.25,84.75,1.39,1.3599999999999999,5429474.1,10997079,38.173500000000004,36.61,147.03696033449404,158.36093544070877,11
AMBUJACEM,280.85,277.9,1.22,1.21,1949866.75,2019634,42.308499999999995,28.54,49.00105311176863,54.30986890946038,14
ENGINERSIN,150.75,149.75,1.24,1.21,1484111.45,2962373,42.9185,33.82,83.45883497266158,95.02222040519581,11
